crd,name,reason
25853,RAYMOND JAMES (USA) LTD,non-US main office: Canada
104474,"SANFORD C. BERNSTEIN & CO., LLC","pooled-vehicle RAUM 52% of book — manufacturer, not distributor"
104536,"KAYNE ANDERSON CAPITAL ADVISORS, L.P.","pooled-vehicle RAUM 93% of book — manufacturer, not distributor"
104870,"HUDSON EDGE INVESTMENT PARTNERS, INC.","pooled-vehicle RAUM 59% of book — manufacturer, not distributor"
105253,WASHINGTON CAPITAL MANAGEMENT INC,"pooled-vehicle RAUM 87% of book — manufacturer, not distributor"
106490,"CORUNDUM GROUP, INC.","pooled-vehicle RAUM 59% of book — manufacturer, not distributor"
106631,"THE PUTNAM ADVISORY COMPANY, LLC","pooled-vehicle RAUM 72% of book — manufacturer, not distributor"
107808,"BOYD WATTERSON ASSET MANAGEMENT, LLC","pooled-vehicle RAUM 53% of book — manufacturer, not distributor"
107940,ENTRUST GLOBAL PARTNERS LLC,"pooled-vehicle RAUM 96% of book — manufacturer, not distributor"
108369,"THOMAS J. HERZFELD ADVISORS, INC.","pooled-vehicle RAUM 54% of book — manufacturer, not distributor"
108586,TA REALTY LLC,"pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
108668,"GRESHAM PARTNERS, LLC","pooled-vehicle RAUM 77% of book — manufacturer, not distributor"
108857,PECONIC PARTNERS LLC,"pooled-vehicle RAUM 76% of book — manufacturer, not distributor"
109319,GERBER/TAYLOR MANAGEMENT LLC,"pooled-vehicle RAUM 94% of book — manufacturer, not distributor"
109648,RBC PRIVATE COUNSEL (USA) INC.,non-US main office: Canada
110213,ANGELES INVESTMENT ADVISORS,"pooled-vehicle RAUM 58% of book — manufacturer, not distributor"
110453,CLARET ASSET MANAGEMENT CORP,non-US main office: Canada
110742,CHEVY CHASE TRUST COMPANY,"pooled-vehicle RAUM 70% of book — manufacturer, not distributor"
110791,"BARON CAPITAL MANAGEMENT, INC.","pooled-vehicle RAUM 66% of book — manufacturer, not distributor"
110995,ASB CAPITAL MANAGEMENT LLC,"pooled-vehicle RAUM 90% of book — manufacturer, not distributor"
111162,OKABENA INVESTMENT SERVICES INC,"pooled-vehicle RAUM 67% of book — manufacturer, not distributor"
111296,"GLYNN CAPITAL MANAGEMENT, LLC","pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
111838,TOLLESON PRIVATE WEALTH MANAGEMENT,"pooled-vehicle RAUM 55% of book — manufacturer, not distributor"
112500,HARDMAN JOHNSTON GLOBAL ADVISORS LLC,"pooled-vehicle RAUM 50% of book — manufacturer, not distributor"
114317,BURGUNDY ASSET MANAGEMENT LTD.,non-US main office: Canada
114642,ANALYST PORTFOLIO MANAGEMENT LTD.,non-US main office: Israel
115788,SARASIN ASSET MANAGEMENT LIMITED,non-US main office: United Kingdom
116850,"VALUEWORKS, LLC","pooled-vehicle RAUM 76% of book — manufacturer, not distributor"
117050,MORGAN STANLEY AIP GP LP,"pooled-vehicle RAUM 79% of book — manufacturer, not distributor"
119840,NUVERSE ADVISORS LLC,"pooled-vehicle RAUM 89% of book — manufacturer, not distributor"
120533,PATTON WEALTH ADVISORS,"pooled-vehicle RAUM 66% of book — manufacturer, not distributor"
120836,1832 ASSET MANAGEMENT U.S. INC.,non-US main office: Canada
124729,"CARDINAL CAPITAL MANAGEMENT, INC.",non-US main office: Canada
125139,"PROPRIETARY CAPITAL, LLC","pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
